participant_id,trial,stimulus_number,object_name,category,stimulus_type,is_lure,presentation_time,is_question_trial,question_category,question_text,answer,correct_answer,correct,timed_out,response_time
k,1,78,Globe,SMALL_OBJECT,Image,False,2026-01-30 23:21:31.025122,False,,,,,,,
k,2,86,Bok_choy,VEGETABLE,Lure,True,2026-01-30 23:21:32.566815,False,,,,,,,
k,3,60,Wasp,INSECT,Image,False,2026-01-30 23:21:34.092470,False,,,,,,,
k,4,76,Football,SMALL_OBJECT,Lure,True,2026-01-30 23:21:35.794167,False,,,,,,,
k,5,84,Basil,VEGETABLE,Image,False,2026-01-30 23:21:37.363477,False,,,,,,,
k,6,22,Duck,BIRD,Lure,True,2026-01-30 23:21:38.916516,False,,,,,,,
k,7,75,Envelope,SMALL_OBJECT,Lure,True,2026-01-30 23:21:40.451930,False,,,,,,,
k,8,73,Blender,SMALL_OBJECT,Lure,True,2026-01-30 23:21:41.994273,False,,,,,,,
k,9,60,Wasp,INSECT,Lure,True,2026-01-30 23:21:43.549126,False,,,,,,,
k,10,2,Alpaca,BIG_ANIMAL,Image,False,2026-01-30 23:21:45.102447,True,BIG_ANIMAL,Was the last object a big animal?,TIMEOUT,True,,True,10.0
k,11,99,Jetski,VEHICLE,Image,False,2026-01-30 23:21:58.904939,False,,,,,,,
k,12,96,Cruise_ship,VEHICLE,Image,False,2026-01-30 23:22:00.456526,False,,,,,,,
k,13,20,Phonebooth,BIG_OBJECT,Image,False,2026-01-30 23:22:01.980273,False,,,,,,,
k,14,38,Pie,FOOD,Image,False,2026-01-30 23:22:03.489760,False,,,,,,,
k,15,4,Cheetah,BIG_ANIMAL,Image,False,2026-01-30 23:22:05.009802,False,,,,,,,
k,16,17,Filing_cabinet,BIG_OBJECT,Image,False,2026-01-30 23:22:06.524539,False,,,,,,,
k,17,75,Envelope,SMALL_OBJECT,Image,False,2026-01-30 23:22:08.057779,False,,,,,,,
k,18,51,Ants,INSECT,Image,False,2026-01-30 23:22:09.817633,False,,,,,,,
k,19,98,Jeep,VEHICLE,Image,False,2026-01-30 23:22:11.343974,False,,,,,,,
k,20,68,Monkey,SMALL_ANIMAL,Lure,True,2026-01-30 23:22:12.978377,True,SMALL_ANIMAL,Was the last object a small animal?,TIMEOUT,True,,True,10.0
k,21,10,Zebra,BIG_ANIMAL,Lure,True,2026-01-30 23:22:26.667638,False,,,,,,,
k,22,51,Ants,INSECT,Lure,True,2026-01-30 23:22:28.220034,False,,,,,,,
k,23,34,Donut,FOOD,Lure,True,2026-01-30 23:22:29.746426,False,,,,,,,
k,24,73,Blender,SMALL_OBJECT,Image,False,2026-01-30 23:22:31.291495,False,,,,,,,
k,25,17,Filing_cabinet,BIG_OBJECT,Lure,True,2026-01-30 23:22:32.925171,False,,,,,,,
k,26,39,Pizza,FOOD,Image,False,2026-01-30 23:22:34.562463,False,,,,,,,
k,27,54,Bug,INSECT,Image,False,2026-01-30 23:22:36.127106,False,,,,,,,
k,28,9,Walrus,BIG_ANIMAL,Image,False,2026-01-30 23:22:37.673684,False,,,,,,,
k,29,32,Burrito,FOOD,Lure,True,2026-01-30 23:22:39.258921,False,,,,,,,
k,30,88,Kale,VEGETABLE,Lure,True,2026-01-30 23:22:40.867546,True,VEGETABLE,Was the last object a vegetable?,TIMEOUT,True,,True,10.0
k,31,81,Arugula,VEGETABLE,Lure,True,2026-01-30 23:22:54.557030,False,,,,,,,
k,32,47,Peach,FRUIT,Lure,True,2026-01-30 23:22:56.112176,False,,,,,,,
k,33,70,Otter,SMALL_ANIMAL,Lure,True,2026-01-30 23:22:57.637572,False,,,,,,,
k,34,81,Arugula,VEGETABLE,Image,False,2026-01-30 23:22:59.169947,False,,,,,,,
k,35,83,Avocado,VEGETABLE,Image,False,2026-01-30 23:23:00.694438,False,,,,,,,
k,36,37,Pasta,FOOD,Lure,True,2026-01-30 23:23:02.252068,False,,,,,,,
k,37,21,Chicken,BIRD,Lure,True,2026-01-30 23:23:03.798145,False,,,,,,,
k,38,10,Zebra,BIG_ANIMAL,Image,False,2026-01-30 23:23:05.345171,False,,,,,,,
k,39,41,Apple,FRUIT,Image,False,2026-01-30 23:23:06.985439,False,,,,,,,
k,40,68,Monkey,SMALL_ANIMAL,Image,False,2026-01-30 23:23:08.548970,True,SMALL_ANIMAL,Was the last object a small animal?,TIMEOUT,True,,True,10.0
k,41,6,Giraffe,BIG_ANIMAL,Lure,True,2026-01-30 23:23:22.398076,False,,,,,,,
k,42,39,Pizza,FOOD,Lure,True,2026-01-30 23:23:24.241863,False,,,,,,,
k,43,36,Ice_cream,FOOD,Image,False,2026-01-30 23:23:26.029696,False,,,,,,,
k,44,27,Owl,BIRD,Lure,True,2026-01-30 23:23:27.617463,False,,,,,,,
k,45,13,Chair,BIG_OBJECT,Lure,True,2026-01-30 23:23:29.220807,False,,,,,,,
k,46,66,Iguana,SMALL_ANIMAL,Image,False,2026-01-30 23:23:30.834837,False,,,,,,,
k,47,49,Strawberry,FRUIT,Image,False,2026-01-30 23:23:32.449013,False,,,,,,,
k,48,16,Couch,BIG_OBJECT,Image,False,2026-01-30 23:23:34.043714,False,,,,,,,
k,49,7,Hippopotamus,BIG_ANIMAL,Image,False,2026-01-30 23:23:35.789603,False,,,,,,,
k,50,33,Cake,FOOD,Lure,True,2026-01-30 23:23:37.358250,True,FOOD,Was the last object a food?,TIMEOUT,True,,True,10.0
k,51,40,Soup,FOOD,Image,False,2026-01-30 23:23:51.182705,False,,,,,,,
k,52,29,Peacock,BIRD,Image,False,2026-01-30 23:23:52.771878,False,,,,,,,
k,53,64,Frog,SMALL_ANIMAL,Image,False,2026-01-30 23:23:54.309435,False,,,,,,,
k,54,91,Airplane,VEHICLE,Image,False,2026-01-30 23:23:55.839338,False,,,,,,,
k,55,4,Cheetah,BIG_ANIMAL,Lure,True,2026-01-30 23:23:57.366180,False,,,,,,,
k,56,92,Bike,VEHICLE,Image,False,2026-01-30 23:23:58.922408,False,,,,,,,
k,57,80,Lamp,SMALL_OBJECT,Lure,True,2026-01-30 23:24:00.468210,False,,,,,,,
k,58,19,Mailbox,BIG_OBJECT,Lure,True,2026-01-30 23:24:02.032410,False,,,,,,,
k,59,84,Basil,VEGETABLE,Lure,True,2026-01-30 23:24:04.567225,False,,,,,,,
k,60,8,Horse,BIG_ANIMAL,Image,False,2026-01-30 23:24:06.102495,True,BIG_ANIMAL,Was the last object a big animal?,TIMEOUT,True,,True,10.0
k,61,1,Alligator,BIG_ANIMAL,Image,False,2026-01-30 23:24:19.796133,False,,,,,,,
k,62,82,Asparagus,VEGETABLE,Image,False,2026-01-30 23:24:21.311245,False,,,,,,,
k,63,32,Burrito,FOOD,Image,False,2026-01-30 23:24:22.840903,False,,,,,,,
k,64,97,Helicopter,VEHICLE,Lure,True,2026-01-30 23:24:24.394287,False,,,,,,,
k,65,25,Hawk,BIRD,Image,False,2026-01-30 23:24:25.923381,False,,,,,,,
k,66,13,Chair,BIG_OBJECT,Image,False,2026-01-30 23:24:27.434395,False,,,,,,,
k,67,96,Cruise_ship,VEHICLE,Lure,True,2026-01-30 23:24:28.962857,False,,,,,,,
k,68,22,Duck,BIRD,Image,False,2026-01-30 23:24:30.481775,False,,,,,,,
k,69,48,Pineapple,FRUIT,Lure,True,2026-01-30 23:24:31.999328,False,,,,,,,
k,70,3,Camel,BIG_ANIMAL,Lure,True,2026-01-30 23:24:33.514416,True,BIG_ANIMAL,Was the last object a big animal?,TIMEOUT,True,,True,10.0
k,71,24,Goose,BIRD,Lure,True,2026-01-30 23:24:47.102775,False,,,,,,,
k,72,85,Bean,VEGETABLE,Image,False,2026-01-30 23:24:48.640500,False,,,,,,,
k,73,97,Helicopter,VEHICLE,Image,False,2026-01-30 23:24:50.172719,False,,,,,,,
k,74,48,Pineapple,FRUIT,Image,False,2026-01-30 23:24:51.705516,False,,,,,,,
k,75,44,Coconut,FRUIT,Lure,True,2026-01-30 23:24:53.430439,False,,,,,,,
k,76,44,Coconut,FRUIT,Image,False,2026-01-30 23:24:55.082346,False,,,,,,,
k,77,7,Hippopotamus,BIG_ANIMAL,Lure,True,2026-01-30 23:24:56.646372,False,,,,,,,
k,78,5,Elephant,BIG_ANIMAL,Image,False,2026-01-30 23:24:58.193408,False,,,,,,,
k,79,63,Dog,SMALL_ANIMAL,Lure,True,2026-01-30 23:24:59.712331,False,,,,,,,
k,80,23,Flamingo,BIRD,Lure,True,2026-01-30 23:25:01.237136,True,BIRD,Was the last object a bird?,TIMEOUT,True,,True,10.0
k,81,59,Moth,INSECT,Lure,True,2026-01-30 23:25:14.953123,False,,,,,,,
k,82,74,Camera,SMALL_OBJECT,Lure,True,2026-01-30 23:25:16.478895,False,,,,,,,
k,83,58,Mosquito,INSECT,Image,False,2026-01-30 23:25:18.025019,False,,,,,,,
k,84,72,Basket,SMALL_OBJECT,Image,False,2026-01-30 23:25:19.573575,False,,,,,,,
k,85,59,Moth,INSECT,Image,False,2026-01-30 23:25:21.107061,False,,,,,,,
k,86,62,Cat,SMALL_ANIMAL,Image,False,2026-01-30 23:25:22.622477,False,,,,,,,
k,87,37,Pasta,FOOD,Image,False,2026-01-30 23:25:24.139681,False,,,,,,,
k,88,87,Carrot,VEGETABLE,Lure,True,2026-01-30 23:25:25.658070,False,,,,,,,
k,89,47,Peach,FRUIT,Image,False,2026-01-30 23:25:27.174496,False,,,,,,,
k,90,69,Mouse,SMALL_ANIMAL,Lure,True,2026-01-30 23:25:28.683466,True,SMALL_ANIMAL,Was the last object a small animal?,TIMEOUT,True,,True,10.0
k,91,55,Butterfly,INSECT,Lure,True,2026-01-30 23:25:42.288263,False,,,,,,,
k,92,29,Peacock,BIRD,Lure,True,2026-01-30 23:25:43.825811,False,,,,,,,
k,93,100,Van,VEHICLE,Image,False,2026-01-30 23:25:45.350980,False,,,,,,,
k,94,82,Asparagus,VEGETABLE,Lure,True,2026-01-30 23:25:46.900197,False,,,,,,,
k,95,52,Bee,INSECT,Image,False,2026-01-30 23:25:48.529512,False,,,,,,,
k,96,12,Bench,BIG_OBJECT,Image,False,2026-01-30 23:25:50.068146,False,,,,,,,
k,97,26,Hummingbird,BIRD,Image,False,2026-01-30 23:25:51.625416,False,,,,,,,
k,98,94,Bus,VEHICLE,Lure,True,2026-01-30 23:25:53.141702,False,,,,,,,
k,99,77,Glasses,SMALL_OBJECT,Image,False,2026-01-30 23:25:54.666441,False,,,,,,,
k,100,9,Walrus,BIG_ANIMAL,Lure,True,2026-01-30 23:25:56.181813,True,BIG_ANIMAL,Was the last object a big animal?,TIMEOUT,True,,True,10.0
k,101,6,Giraffe,BIG_ANIMAL,Image,False,2026-01-30 23:26:09.809372,False,,,,,,,
k,102,5,Elephant,BIG_ANIMAL,Lure,True,2026-01-30 23:26:11.360476,False,,,,,,,
k,103,80,Lamp,SMALL_OBJECT,Image,False,2026-01-30 23:26:12.890303,False,,,,,,,
k,104,18,Hot_tub,BIG_OBJECT,Lure,True,2026-01-30 23:26:14.432024,False,,,,,,,
k,105,77,Glasses,SMALL_OBJECT,Lure,True,2026-01-30 23:26:15.959529,False,,,,,,,
k,106,23,Flamingo,BIRD,Image,False,2026-01-30 23:26:17.477688,False,,,,,,,
k,107,79,Key,SMALL_OBJECT,Lure,True,2026-01-30 23:26:19.024353,False,,,,,,,
k,108,14,Chandelier,BIG_OBJECT,Image,False,2026-01-30 23:26:20.823731,False,,,,,,,
k,109,86,Bok_choy,VEGETABLE,Image,False,2026-01-30 23:26:22.359881,False,,,,,,,
k,110,92,Bike,VEHICLE,Lure,True,2026-01-30 23:26:23.892189,True,VEHICLE,Was the last object a vehicle?,TIMEOUT,True,,True,10.0
k,111,72,Basket,SMALL_OBJECT,Lure,True,2026-01-30 23:26:37.667574,False,,,,,,,
k,112,61,Beaver,SMALL_ANIMAL,Lure,True,2026-01-30 23:26:39.442345,False,,,,,,,
k,113,95,Car,VEHICLE,Image,False,2026-01-30 23:26:41.084177,False,,,,,,,
k,114,64,Frog,SMALL_ANIMAL,Lure,True,2026-01-30 23:26:42.645797,False,,,,,,,
k,115,41,Apple,FRUIT,Lure,True,2026-01-30 23:26:44.176840,False,,,,,,,
k,116,31,Bagel,FOOD,Image,False,2026-01-30 23:26:45.697245,False,,,,,,,
k,117,58,Mosquito,INSECT,Lure,True,2026-01-30 23:26:47.339398,False,,,,,,,
k,118,14,Chandelier,BIG_OBJECT,Lure,True,2026-01-30 23:26:49.080600,False,,,,,,,
k,119,30,Penguin,BIRD,Lure,True,2026-01-30 23:26:50.660027,False,,,,,,,
k,120,53,Beetle,INSECT,Lure,True,2026-01-30 23:26:52.201315,True,INSECT,Was the last object an insect?,TIMEOUT,True,,True,10.0
k,121,50,Watermelon,FRUIT,Lure,True,2026-01-30 23:27:05.846212,False,,,,,,,
k,122,43,Blueberry,FRUIT,Lure,True,2026-01-30 23:27:07.376773,False,,,,,,,
k,123,18,Hot_tub,BIG_OBJECT,Image,False,2026-01-30 23:27:08.976898,False,,,,,,,
k,124,36,Ice_cream,FOOD,Lure,True,2026-01-30 23:27:10.498921,False,,,,,,,
k,125,43,Blueberry,FRUIT,Image,False,2026-01-30 23:27:12.015021,False,,,,,,,
k,126,94,Bus,VEHICLE,Image,False,2026-01-30 23:27:13.598729,False,,,,,,,
k,127,35,Hotdog,FOOD,Image,False,2026-01-30 23:27:15.260930,False,,,,,,,
k,128,57,Fly,INSECT,Lure,True,2026-01-30 23:27:16.905042,False,,,,,,,
k,129,71,Balloon,SMALL_OBJECT,Lure,True,2026-01-30 23:27:18.432159,False,,,,,,,
k,130,76,Football,SMALL_OBJECT,Image,False,2026-01-30 23:27:19.992225,True,SMALL_OBJECT,Was the last object a small object?,TIMEOUT,True,,True,10.0
k,131,15,Coat_rack,BIG_OBJECT,Image,False,2026-01-30 23:27:33.604002,False,,,,,,,
k,132,61,Beaver,SMALL_ANIMAL,Image,False,2026-01-30 23:27:35.122035,False,,,,,,,
k,133,12,Bench,BIG_OBJECT,Lure,True,2026-01-30 23:27:36.636551,False,,,,,,,
k,134,21,Chicken,BIRD,Image,False,2026-01-30 23:27:38.184929,False,,,,,,,
k,135,25,Hawk,BIRD,Lure,True,2026-01-30 23:27:39.716388,False,,,,,,,
k,136,65,Groundhog,SMALL_ANIMAL,Lure,True,2026-01-30 23:27:41.244266,False,,,,,,,
k,137,99,Jetski,VEHICLE,Lure,True,2026-01-30 23:27:42.780657,False,,,,,,,
k,138,42,Banana,FRUIT,Lure,True,2026-01-30 23:27:44.315495,False,,,,,,,
k,139,95,Car,VEHICLE,Lure,True,2026-01-30 23:27:45.832818,False,,,,,,,
k,140,15,Coat_rack,BIG_OBJECT,Lure,True,2026-01-30 23:27:47.349574,True,BIG_OBJECT,Was the last object a big object?,TIMEOUT,True,,True,10.0
k,141,88,Kale,VEGETABLE,Image,False,2026-01-30 23:28:01.036265,False,,,,,,,
k,142,98,Jeep,VEHICLE,Lure,True,2026-01-30 23:28:02.569722,False,,,,,,,
k,143,19,Mailbox,BIG_OBJECT,Image,False,2026-01-30 23:28:04.096222,False,,,,,,,
k,144,40,Soup,FOOD,Lure,True,2026-01-30 23:28:05.747667,False,,,,,,,
k,145,38,Pie,FOOD,Lure,True,2026-01-30 23:28:07.326649,False,,,,,,,
k,146,93,Boat,VEHICLE,Image,False,2026-01-30 23:28:08.887600,False,,,,,,,
k,147,78,Globe,SMALL_OBJECT,Lure,True,2026-01-30 23:28:10.443644,False,,,,,,,
k,148,67,Koala,SMALL_ANIMAL,Lure,True,2026-01-30 23:28:11.973593,False,,,,,,,
k,149,45,Mulberry,FRUIT,Image,False,2026-01-30 23:28:13.585568,False,,,,,,,
k,150,34,Donut,FOOD,Image,False,2026-01-30 23:28:15.129457,True,FOOD,Was the last object a food?,TIMEOUT,True,,True,10.0
k,151,49,Strawberry,FRUIT,Lure,True,2026-01-30 23:28:29.077871,False,,,,,,,
k,152,55,Butterfly,INSECT,Image,False,2026-01-30 23:28:30.791534,False,,,,,,,
k,153,69,Mouse,SMALL_ANIMAL,Image,False,2026-01-30 23:28:32.936706,False,,,,,,,
k,154,93,Boat,VEHICLE,Lure,True,2026-01-30 23:28:34.658774,False,,,,,,,
k,155,16,Couch,BIG_OBJECT,Lure,True,2026-01-30 23:28:36.349935,False,,,,,,,
k,156,62,Cat,SMALL_ANIMAL,Lure,True,2026-01-30 23:28:37.953602,False,,,,,,,
k,157,46,Orange,FRUIT,Lure,True,2026-01-30 23:28:39.567293,False,,,,,,,
k,158,89,Pepper,VEGETABLE,Image,False,2026-01-30 23:28:41.168038,False,,,,,,,
k,159,54,Bug,INSECT,Lure,True,2026-01-30 23:28:43.078750,False,,,,,,,
k,160,85,Bean,VEGETABLE,Lure,True,2026-01-30 23:28:44.752367,True,VEGETABLE,Was the last object a vegetable?,TIMEOUT,True,,True,10.0
k,161,42,Banana,FRUIT,Image,False,2026-01-30 23:28:59.348287,False,,,,,,,
k,162,45,Mulberry,FRUIT,Lure,True,2026-01-30 23:29:01.534551,False,,,,,,,
k,163,28,Parrot,BIRD,Image,False,2026-01-30 23:29:03.134092,False,,,,,,,
k,164,66,Iguana,SMALL_ANIMAL,Lure,True,2026-01-30 23:29:04.746278,False,,,,,,,
k,165,67,Koala,SMALL_ANIMAL,Image,False,2026-01-30 23:29:06.866095,False,,,,,,,
k,166,65,Groundhog,SMALL_ANIMAL,Image,False,2026-01-30 23:29:08.441856,False,,,,,,,
k,167,52,Bee,INSECT,Lure,True,2026-01-30 23:29:10.053644,False,,,,,,,
k,168,8,Horse,BIG_ANIMAL,Lure,True,2026-01-30 23:29:11.614210,False,,,,,,,
k,169,56,Caterpillar,INSECT,Image,False,2026-01-30 23:29:13.237429,False,,,,,,,
k,170,74,Camera,SMALL_OBJECT,Image,False,2026-01-30 23:29:14.953367,True,SMALL_OBJECT,Was the last object a small object?,TIMEOUT,True,,True,10.0
k,171,63,Dog,SMALL_ANIMAL,Image,False,2026-01-30 23:29:29.020769,False,,,,,,,
k,172,89,Pepper,VEGETABLE,Lure,True,2026-01-30 23:29:30.664668,False,,,,,,,
k,173,46,Orange,FRUIT,Image,False,2026-01-30 23:29:32.341577,False,,,,,,,
k,174,24,Goose,BIRD,Image,False,2026-01-30 23:29:34.002989,False,,,,,,,
k,175,90,Squash,VEGETABLE,Image,False,2026-01-30 23:29:35.671526,False,,,,,,,
k,176,50,Watermelon,FRUIT,Image,False,2026-01-30 23:29:37.274875,False,,,,,,,
k,177,26,Hummingbird,BIRD,Lure,True,2026-01-30 23:29:38.928278,False,,,,,,,
k,178,31,Bagel,FOOD,Lure,True,2026-01-30 23:29:40.507799,False,,,,,,,
k,179,70,Otter,SMALL_ANIMAL,Image,False,2026-01-30 23:29:42.241348,False,,,,,,,
k,180,90,Squash,VEGETABLE,Lure,True,2026-01-30 23:29:43.954243,True,VEGETABLE,Was the last object a vegetable?,TIMEOUT,True,,True,10.0
k,181,33,Cake,FOOD,Image,False,2026-01-30 23:29:57.827265,False,,,,,,,
k,182,28,Parrot,BIRD,Lure,True,2026-01-30 23:29:59.493282,False,,,,,,,
k,183,83,Avocado,VEGETABLE,Lure,True,2026-01-30 23:30:01.072987,False,,,,,,,
k,184,11,Barrel,BIG_OBJECT,Image,False,2026-01-30 23:30:02.627366,False,,,,,,,
k,185,57,Fly,INSECT,Image,False,2026-01-30 23:30:04.185701,False,,,,,,,
k,186,35,Hotdog,FOOD,Lure,True,2026-01-30 23:30:05.728791,False,,,,,,,
k,187,91,Airplane,VEHICLE,Lure,True,2026-01-30 23:30:07.280617,False,,,,,,,
k,188,71,Balloon,SMALL_OBJECT,Image,False,2026-01-30 23:30:08.822103,False,,,,,,,
k,189,79,Key,SMALL_OBJECT,Image,False,2026-01-30 23:30:10.353711,False,,,,,,,
k,190,1,Alligator,BIG_ANIMAL,Lure,True,2026-01-30 23:30:11.974763,True,BIG_ANIMAL,Was the last object a big animal?,TIMEOUT,True,,True,10.0
k,191,100,Van,VEHICLE,Lure,True,2026-01-30 23:30:25.829477,False,,,,,,,
k,192,11,Barrel,BIG_OBJECT,Lure,True,2026-01-30 23:30:27.373288,False,,,,,,,
k,193,56,Caterpillar,INSECT,Lure,True,2026-01-30 23:30:28.911256,False,,,,,,,
k,194,3,Camel,BIG_ANIMAL,Image,False,2026-01-30 23:30:30.454110,False,,,,,,,
k,195,30,Penguin,BIRD,Image,False,2026-01-30 23:30:31.993457,False,,,,,,,
k,196,27,Owl,BIRD,Image,False,2026-01-30 23:30:33.539520,False,,,,,,,
k,197,20,Phonebooth,BIG_OBJECT,Lure,True,2026-01-30 23:30:35.071644,False,,,,,,,
k,198,53,Beetle,INSECT,Image,False,2026-01-30 23:30:36.596390,False,,,,,,,
k,199,87,Carrot,VEGETABLE,Image,False,2026-01-30 23:30:38.373060,False,,,,,,,
k,200,2,Alpaca,BIG_ANIMAL,Lure,True,2026-01-30 23:30:39.918707,True,BIG_ANIMAL,Was the last object a big animal?,TIMEOUT,True,,True,10.0
